,DAX Performance-Index(WKN: 846900 Börse: Xetra),,,,,
31.10.18,,,,,,
Tage ab Beginn,Datum,Eröffnung,Hoch,Tief,Schluss,Volumen
365,31.10.19,"12937,59","12953,34","12795,09","12866,79",108987778
364,30.10.19,"12929,42","12944,26","12830,33","12910,23",110964948
363,29.10.19,"12946,34","12951,88","12897,34","12939,62",85035897
362,28.10.19,"12897,4","12986,49","12892,84","12941,71",81146945
359,25.10.19,"12886,42","12895,85",12834,"12894,51",65184532
358,24.10.19,"12860,63","12914,24","12820,67","12872,1",94028246
357,23.10.19,"12702,92","12819,22","12699,85","12798,19",84244371
356,22.10.19,"12757,73","12791,31","12730,7","12754,69",84578154
355,21.10.19,"12661,93","12787,35","12646,28","12747,96",91719011
352,18.10.19,"12637,01","12700,38","12603,17","12633,6",89536519
351,17.10.19,"12655,32","12814,49","12647,86","12654,95",107225915
350,16.10.19,"12644,18","12698,37","12603,83","12670,11",111742946
349,15.10.19,"12565,68","12682,4","12511,9","12629,79",91125587
348,14.10.19,"12468,78","12495,24","12387,95","12486,56",65058852
345,11.10.19,"12248,88","12511,65","12240,94","12511,65",113814514
344,10.10.19,"12082,89","12202,71","12029,46","12164,2",102491558
343,09.10.19,"11973,82","12165,53","11953,12","12094,26",72196596
342,08.10.19,"12097,89","12097,94","11933,02","11970,2",90245659
341,07.10.19,"12008,77","12105,09","11969,32","12097,43",72954721
338,04.10.19,"11958,31","12012,91","11878,98","12012,81",98089122
336,02.10.19,"12221,74","12226,86","11925,25","11925,25",103711102
335,01.10.19,"12469,67","12497,28","12263,83","12263,83",89942705
334,30.09.19,"12367,81","12441,03","12346,94","12428,08",77170094
331,27.09.19,"12327,79","12404,47","12324,71","12380,94",76632582
330,26.09.19,"12227,77","12313,15","12223,29","12288,54",86958879
329,25.09.19,"12250,08","12261,06","12141,82","12234,18",85531826
328,24.09.19,"12368,96","12375,31","12307,15","12307,15",73396293
327,23.09.19,"12432,3","12441,02","12264,14","12342,33",102614764
324,20.09.19,"12462,57","12490,84","12418,5","12468,01",198465361
323,19.09.19,"12355,92","12466,78","12354,83","12457,7",87084515
322,18.09.19,"12361,23","12416,05","12354,49","12389,62",72624243
321,17.09.19,"12370,96","12392,97","12303,51","12372,61",85962812
320,16.09.19,"12387,68","12421,25","12362,98","12380,31",86212772
317,13.09.19,"12412,72","12494,25","12408,93","12468,53",100726246
316,12.09.19,"12399,4","12471,83","12311,81","12410,25",125833845
315,11.09.19,"12341,84","12394,28","12317,61","12359,07",98059193
314,10.09.19,"12210,88","12292,14","12179,88","12268,71",115311546
313,09.09.19,"12210,87","12245,11","12189,6","12226,1",77159102
310,06.09.19,12146,"12205,1","12131,29","12191,73",85240437
309,05.09.19,"12117,9","12151,31","12084,17","12126,78",95674131
308,04.09.19,"12043,96","12078,4","11999,83","12025,04",67072444
307,03.09.19,"11921,94","11956,69","11869,28","11910,86",69646033
306,02.09.19,"11939,99","11994,11","11929,91","11953,78",48158534
303,30.08.19,"11850,3","11989,44","11845,16","11939,28",79099417
302,29.08.19,"11686,84","11853,91","11661,73","11838,88",80175883
301,28.08.19,"11704,67","11717,79","11573,64","11701,02",63948712
300,27.08.19,"11638,51","11778,62","11616,09","11730,02",84838720
299,26.08.19,"11619,66","11696,78","11551,99","11658,04",60375578
296,23.08.19,"11805,48","11823,12","11611,51","11611,51",95037935
295,22.08.19,"11756,21","11853,14","11715,26","11747,04",80079712
294,21.08.19,"11673,66","11824,66","11673,37","11802,85",66569303
293,20.08.19,"11711,78","11764,93","11618,93","11651,18",73313007
292,19.08.19,"11679,72",11759,"11625,67","11715,37",86788770
289,16.08.19,"11460,65","11578,84","11447,34","11562,74",133982020
288,15.08.19,"11522,46","11530,01","11266,48","11412,67",125255521
287,14.08.19,"11758,75","11759,57","11459,37","11492,66",117152096
286,13.08.19,"11632,85","11835,88","11539,63","11750,13",125144220
285,12.08.19,"11801,06","11836,97","11647,01","11679,68",84402211
282,09.08.19,"11806,82","11865,63","11674,11","11693,8",118806921
281,08.08.19,"11752,96","11845,41","11683,99","11845,41",115455614
280,07.08.19,"11636,34","11747,74","11559,76","11650,15",129548834
279,06.08.19,"11690,27","11748,83","11567,96","11567,96",89980155
278,05.08.19,"11758,44","11797,52","11628,57","11658,51",123713024
275,02.08.19,"12033,68","12034,91","11836,75","11872,44",148789990
274,01.08.19,"12134,71","12254,03","12129,33","12253,15",93453013
273,31.07.19,"12149,09","12226,49","12139,03","12189,04",96956362
272,30.07.19,"12398,24","12404,51","12115,28","12147,24",124357623
271,29.07.19,"12398,29","12473,97","12387,58","12417,47",69733327
268,26.07.19,"12363,86","12428,05","12356,15","12419,9",74288430
267,25.07.19,"12576,02","12599,93","12299,1","12362,1",126807709
266,24.07.19,"12510,52","12550,34","12476,55","12522,89",98119261
265,23.07.19,"12384,66","12531,16","12369,19","12490,74",101506712
264,22.07.19,"12243,58","12346,02","12236,7","12289,4",61419277
261,19.07.19,"12302,64","12340,11","12211,67","12260,07",84723111
260,18.07.19,"12194,33","12296,3","12172,59","12227,85",79066243
259,17.07.19,"12429,87","12453,33","12324,33","12341,03",77199593
258,16.07.19,"12392,19","12465,19","12366,97","12430,97",77804978
257,15.07.19,"12346,59","12434,14","12301,08","12387,34",72482153
254,12.07.19,"12318,5","12354,87","12304,98","12323,32",84226310
253,11.07.19,"12401,02","12417,93","12307,34","12332,12",79473996
252,10.07.19,"12412,99","12448,81","12356,8","12373,41",85849014
251,09.07.19,"12436,97","12477,58","12364,16","12436,55",110106257
